Time,Room,Session,Gear,Tech
,,Tuesday,,
,Sorento,MARX Storage,,
6:00 PM,Presidio 1,Peer-to-Peer Setup,,
6:00 PM,Presidio 2,Peer-to-Peer Setup,,
6:00 PM,Grand Ballroom 3-4,Workshop Setup (Wed/Thur/Fri),,
6:00 PM,Grand Ballroom 5-9,Opening Session Setup,,
6:00 PM,Grand Ballroom 10-11,Workshop Setup (Thur/Fri),,
6:00 PM,Grand Ballroom 12-13,Workshop Setup (Thur/Fri),,
7:00 PM,San Diego Ballroom A,Workshop Setup (Reset to Fireside Wed @ 4:30 PM),,
7:00 PM,San Diego Ballroom B,General Session Setup,,
7:00 PM,San Diego Ballroom C,Mock Negotiations Setup,,
,,Wednesday,,
7:00 AM,Pacific Ballroom 25-26,Specialty CLE Setup,,
7:00 AM,Rancho Sante Fe ,Core Concepts Setup,,
2:15 PM - 3:15 PM,San Diego Ballroom B,"General Session 01 | Drafting to Avoid Litigation, or at Least to Maximize the Chance of a Win",,
2:15 PM - 3:15 PM,San Diego Ballroom A,Workshop 01 | REAs and New Developments — Baking in the Flexibility: A Recipe for REAs for New Developments,,
2:15 PM - 3:15 PM,Pacific Ballroom 25-26,"Workshop 02 | Standard Lease Templates: Working With AIR, REBNY and Other Form Leases",,
2:15 PM - 3:15 PM,Rancho Sante Fe ,Core Concept 01 | Core Practice Tips for Associates in 2025: We’re Not in First-Year Property Law Anymore,,
2:15 PM - 3:15 PM,Presidio 1,"Peer to Peer 01 | Franchising: With So Many Cooks in the Kitchen, How Do We Make a Masterpiece Without Burning the Place Down?",,
3:30 PM - 4:30 PM,San Diego Ballroom B,"General Session 02 | Restaurants and Entertainment Uses: Menus, Venues and Screens",,
3:30 PM - 4:30 PM,San Diego Ballroom A,Workshop 03 | Lease Defaults: Events of Default and Remedies From Both Landlord and Tenant Perspectives,,
3:30 PM - 4:30 PM,Pacific Ballroom 25-26,Workshop 04 | Lease Transfers and Change of Control Provisions: Navigating Recent Changes and the Maze of Permitted Transfers,,
3:30 PM - 4:30 PM,Grand Ballroom 3-4,Specialty CLE 01 | Generative AI: How AI Can Assist and Undermine Legal Professionals,,
3:30 PM - 4:30 PM,Rancho Sante Fe ,Core Concept 02 | Letters of Intent and Basic Real Estate Terminology: LOI Stands for “Leave Out/Include”,,
3:30 PM - 4:30 PM,San Diego Ballroom C,"Mock Negotiation 01 | Negotiating SNDAs: Best Practices for Lenders, Landlords and Tenants",,
3:30 PM - 4:30 PM,Presidio 1,Peer to Peer 02 | Managing the Deal: Disorder in the House – What to Do When the Disfunction Is On Your Side of the Table,,
4:30 PM,San Diego Ballroom A,Fireside Chat Setup,,
5:00 - 6:00 PM,Marriott Grand Ballroom Terrace,First-Timer Reception,,
5:00 - 6:30 PM,South Pool Patio,Legal Advisory Council Reception,,
6:00 - 6:30 PM,North Pool Patio,Past Chairs Reception ,,
6:30 - 9:00 PM,Marina Terrace,Welcome Reception,,
,,Thursday,,
8:00 - 9:00 AM,Grand Ballroom 10-11,Workshop 05 | LOIs for Lawyers: Balancing Business Objectives With Legal Risks,,
8:00 - 9:00 AM,Grand Ballroom 12-13,"Workshop 06 | Conforming a Retail Lease: You Keep Using That Word, But What Does It Really Mean?",,
8:00 - 9:00 AM,San Diego Ballroom B,Specialty CLE 02 | Documenting Client Communications: Should I Send That Email or Not?,,
8:00 - 9:00 AM,Rancho Sante Fe,Core Concept 03 | Economic Terms in Leases: Show Me the Money!,,
8:00 - 9:00 AM,San Diego Ballroom A,Fireside Chat 01 | What’s New (and Old) Is New: New Development and Redevelopment,,
8:00 - 9:00 AM,Presidio 1,Peer to Peer 03 | Boilerplate: Maintaining Vigilance Until the Last Word,,
9:15 - 10:15 AM,Grand Ballroom 10-11,Workshop 07 | Expiring REAs – “Live and Let Die” or Not: What Happens After the REA Expires,,
9:15 - 10:15 AM,Grand Ballroom 12-13,Workshop 08 | Exclusives Provisions Unveiled: What Truly Matters to Your Clients,,
9:15 - 10:15 AM,San Diego Ballroom B,Specialty CLE 03 | The Multijurisdictional Practice Mess: An ABA “Ethics” Rule That Appears to Be More Honored in the Breach Than in the Observance and the Status of the ABA's Efforts to Change the Rule  ,,
9:15 - 10:15 AM,San DIego Ballroom C,Mock Negotiation 02 | Joint Ventures Unpacked: Navigating the Equity and Sweat Equity Divide,,
9:15 - 10:15 AM,Presidio 1,Peer to Peer 04 | Surrender of Premises and Debranding: What Do You Mean I Cannot Take the Drywall With Me?,,
9:15 - 10:15 AM,Presidio 2,Peer to Peer 05 | Non-Retail Development in a Shopping Center: What Doesn't Fit in This Picture (or Does It?),,
10:30 - 11:30 AM,San Diego Ballroom B,General Session 03 | Negotiating Purchase Agreements: What You Can Expect to Give and Get in 2025,,
10:30 - 11:30 AM,Grand Ballroom 10-11,Workshop 09 | The Three Most Important Issues in AIA Contracts: Hey Contractor: Let’s Get Down to Brass Tacks,,
10:30 - 11:30 AM,Grand Ballroom 12-13,"Workshop 10 | Strategic Options in Bankruptcy When the Anchor Goes Under: Mayday, Mayday!",,
10:30 - 11:30 AM,Grand Ballroom 3-4,Specialty CLE 04 | Avoiding Harassment in the Workplace: Navigating Workplace Interactions in the Ever-Changing Social Landscape,,
10:30 - 11:30 AM,Rancho Sante Fe,"Core Concept 04 | Other Terms in Leases: Transfers and Signage and Use, Oh My!",,
10:30 - 11:30 AM,San Diego Ballroom A,Fireside Chat 02 | Engaging Outside Counsel:  How to Be the Go-To Outside Counsel (Straight From Those Who Know),,
10:30 - 11:30 AM,San Diego Ballroom C,"Mock Negotiation 03 | Mock Mediation Over an Exclusive Dispute — “Hey, Wait, I Thought I Was Supposed to Be Your Only [Insert Your Exclusive]”",,
10:30 - 11:30 AM,Presidio 1 ,Peer to Peer 06 | Leasing Exit Strategies: Retail Pilates: Flexibility Is Key to Health,,
11:30 AM - 1:15 PM,Grand Ballroom 5-9,Lunch / Keynote,,
1:30 - 2:30 PM,San Diego Ballroom B,"General Session 04 | Real Estate Case Law Update: Trends, Precedents, and Practical Impact",,
1:30 - 2:30 PM,Grand Ballroom 10-11,Workshop 11 | Operating Covenants: A Landlord’s Playbook for Enforcement,,
1:30 - 2:30 PM,Grand Ballroom 12-13,Workshop 12 | Advanced CAM Issues: CAM We Just All Get Along?,,
1:30 - 2:30 PM,Grand Ballroom 3-4,Specialty CLE 05 | Generational Differences With a Common Goal,,
1:30 - 2:30 PM,San Diego Ballroom A,"Fireside Chat 03 | From Negotiation to Litigation: When to Litigate, Arbitrate and Appraise",,
1:30 - 2:30 PM,San Diego Ballroom C,Mock Negotiation 04 | Anchor Exclusives and Prohibited Uses: Forbidden Concepts for Us to Anchor Your Center,,
1:30 - 2:30 PM,Presidio 1,Peer to Peer 07 | Gross Sales Exclusions: What Is a Sale Anyway?,,
2:45 - 3:45 PM,San Diego Ballroom B,General Session 05 | Adding Mixed-Use to Retail: Ain’t No Mountain High Enough — What Does It Take to Scale the Mountain to Add Mixed-Use to Retail?,,
2:45 - 3:45 PM,Grand Ballroom 10-11,Workshop 13 | Environmental Provisions in Purchase Agreements and Leases: Where’s the Hazmat (Law)Suit?,,
2:45 - 3:45 PM,Grand Ballroom 12-13,"Workshop 14 | Alternative Fee Arrangements: Both Sides, Now (An Analysis From the Law Firm and Client Perspectives)",,
2:45 - 3:45 PM,Grand Ballroom 3-4,"Workshop 15 | Insurance Coverage for Tenant: Fetch Me My Insurance! What Insurance Coverages Tenants Need, Really",,
2:45 - 3:45 PM,Pacific Ballroom 25-26,Specialty CLE 06 | Invisible Disabilities: Navigating the Workplace When What You See May Not Show the Entire Story,,
2:45 - 3:45 PM,Rancho Sante Fe,Core Concept 05 | Economic Terms in Purchase and Sale Agreements: Show Me More Money!,,
2:45 - 3:45 PM,Presidio 1,Peer to Peer 08 | CAM Costs and Audits: Will Cutting Corners While Cutting Costs Lead to a Successful Reconciliation — or a Reckoning?,,
4:30 - 5:30 PM,Bayside Lounge,Celebrating Diversity in Law Reception,,
5:30 - 6:30 PM,Marriott Grand Ballroom Terrace,Speaker Reception,,
5:30 - 6:30 PM,South Pool Patio,Next Generation Reception,,
,,Friday,,
7:00 - 7:45 AM,Grand Ballroom 5-9,Breakfast,,
9:30 - 10:30 AM,San Diego Ballroom B,General Session 06 | Current Issues in Property and Liability Insurance: Mind the Gaps Between Your Insurer’s Policy Language and the Coverage You Want in Your Lease  ,,
9:30 - 10:30 AM,Grand Ballroom 10-11,Workshop 16 | Redevelopment and Repositioning of Empty Anchor Boxes: Where Do We Go From Here?,,
9:30 - 10:30 AM,Grand Ballroom 12-13,Workshop 17 | Repair and Maintenance Provisions: Could Your Standard Lease Provisions Use a Fresh Coat of Paint?,,
9:30 - 10:30 AM,San Diego Ballroom A,Specialty CLE 07 | Mental Wellness and Job Stress: I Think That I Am Handling It Well?,,
9:30 - 10:30 AM,Rancho Sante Fe,"Core Concept 06 | Other Terms in PSAs: Conditions and Closing and Reps, Oh My!",,
9:30 - 10:30 AM,San Diego Ballroom C,"Mock Negotiation 05 | Negotiating Winning Exit Strategies for Commercial Leases — “Know When to Hold ’Em, Know When to Fold ’Em”",,
9:30 - 10:30 AM,Presidio 1,Peer to Peer 09 | Construction Work Letters and Tenant Improvement Allowances: Challenges of Tenant Build Outs,,
9:30 AM,Grand Ballroom 2,ICSC+U.S. LAW Committee Meeting Set-up ,,
10:45 - 11:45 AM,Grand Ballroom 10-11,Workshop 18 | Common Area Controls: The Power Struggle,,
10:45 - 11:45 AM,Grand Ballroom 12-13,Workshop 19 | Co-Tenancy Conundrums: Pitfalls That Have Gotten Both Landlords and Tenants in Trouble,,
10:45 - 11:45 AM,Rancho Sante Fe,Core Concept 07 | Common Ancillary Real Estate Documents: The Best of All the Rest,,
10:45 - 11:45 AM,San Diego Ballroom A,"Fireside Chat 04 | What’s Keeping You Up at Night, Really?",,
10:45 - 11:45 AM,Presidio 1,Peer to Peer 10 | Casualty Restoration Obligations and Termination Rights: When Disaster Strikes,,
12:00 - 1:00 PM,Presidio 2,Past Chairs Council Meeting,,
12:00 - 1:00 PM,Grand Ballroom 10-11,Workshop 20 | Guaranty Obligations: Bad Boy Carve Outs and Beyond; Which Partner Is Responsible for What?,,
12:00 - 1:00 PM,Grand Ballroom 12-13,Workshop 21 | Ground Leasing: How to Make the Best of Getting Grounded,,
12:00 - 1:00 PM,Rancho Sante Fe,Core Concept 08 | Boilerplate Provisions: Nothing Is Boilerplate…or Is It?,,
12:00 - 1:00 PM,San Diego Ballroom C,"Mock Negotiation 06 | Sounds, Vibrations and Odors: Do You Hear What I Hear, Feel and Smell?",,
12:00 - 1:00 PM,Presidio 1,Peer to Peer 11 | PSA Negotiations: Tricks to Negotiating a “Fair” Purchase and Sale Agreement,,
1:15 - 4:00 PM,Grand Ballroom D,"ICSC+U.S. LAW Committee
Meeting & Lunch",,
